Task ID,Type,Name,Status,Project,Context,Start Date,Due Date,Completion Date,Duration,Flagged,Notes
3.16,Action,11.1-11.4 Digital Logic -  - Computer Organization and Architecture,,计算机组成原理考研复习指导,Mac,2018-09-19 03:04:00 +0000,,2018-09-19 06:55:25 +0000,105m,0,"-> 11:34
11:40 -> 11:45
12:23 -> 12:38
14:00 ->"
3.17,Action,10.1 THE ARITHMETIC AND LOGIC UNIT - Computer Organization and Architecture,,计算机组成原理考研复习指导,Mac,2018-09-19 02:54:00 +0000,,2018-09-19 02:56:54 +0000,2m,0,
3.18,Action,ポントン 2 「て形」の作り方,,🐚 Japanese 日本語,Mac,2018-09-19 01:46:00 +0000,,2018-09-19 02:04:01 +0000,23m,0,
3.19,Action,ポントン 1 動詞の3分類,,🐚 Japanese 日本語,Mac,2018-09-19 00:46:00 +0000,,2018-09-19 01:46:25 +0000,60m,0,
3.20,Action,2.3 浮点数的表示和运算,,计算机组成原理考研复习指导,Draft,2018-09-18 07:11:00 +0000,,2018-09-18 14:50:53 +0000,131m,0,"-> 15:34
16:53 -> 17:53
22:03 ->"
3.21,Action,补码的规格化,,🤔 Issues,Safari,2018-09-18 12:08:00 +0000,,2018-09-18 12:48:48 +0000,40m,0,"https://stackoverflow.com/questions/28800565/how-to-normalize-a-mantissa

https://blog.csdn.net/u011240016/article/details/52608323 <https://stackoverflow.com/questions/28800565/how-to-normalize-a-mantissa>"
3.22,Action,2.4 Floating Point - CSAPP,,计算机组成原理考研复习指导,Mac,2018-09-18 10:09:00 +0000,,2018-09-18 12:06:25 +0000,44m,0,"-> 18:45
19:58 ->"
3.23,Action,float 类型和 double 类型的区别,,🤔 Issues,Safari,,,2018-09-18 09:08:05 +0000,4m,0,
3.24,Action,10.4 FLOATING-POINT REPRESENTATION - Computer Organization and Architecture,,计算机组成原理考研复习指导,Mac,2018-09-18 07:43:00 +0000,,2018-09-18 08:26:30 +0000,43m,0,
3.25,Action,Elevate app 训练,,🐚 English,iOS,,,2018-09-18 04:12:06 +0000,20m,0,
3.26,Action,3 課 活用 1,,🐚 Japanese 日本語,Mac,2018-09-14 16:00:00 +0000,,2018-09-18 02:00:31 +0000,,0,
3.27,Action,ポントン 3 つなぐ形,,🐚 Japanese 日本語,Mac,2018-09-18 01:48:00 +0000,,2018-09-18 02:00:25 +0000,12m,0,
3.28,Action,ポントン 2 ナ形容詞とイ形容詞の形の変化,,🐚 Japanese 日本語,Mac,2018-09-18 00:53:00 +0000,,2018-09-18 01:47:32 +0000,54m,0,
3.29,Action,ポントン 1 形の変化,,🐚 Japanese 日本語,Mac,2018-09-17 11:06:00 +0000,,2018-09-17 13:46:50 +0000,87m,0,"-> 19:25
20:39 ->"
3.30,Action,2.2 定点数的表示和运算,,计算机组成原理考研复习指导,Draft,2018-09-17 04:26:00 +0000,,2018-09-17 10:43:23 +0000,169m,0,"-> 12:39
15:18 -> 16:32
17:21 ->"
3.31,Action,Elevate app 训练,,🐚 English,iOS,,,2018-09-17 09:20:44 +0000,20m,0,
3.32,Action,Pro React Build complex front-end applications in a composable way with React - Cassio de Sousa Antonio,,Pro React Build complex front-end applications in a composable way with React - Cassio de Sousa Antonio,Mac,,,2018-09-17 04:22:52 +0000,,0,
3.33,Action,2 課 「は」と「が」,,🐚 Japanese 日本語,Mac,,,2018-09-17 03:25:46 +0000,,0,
3.34,Action,ポンポと 2 描写と構文上の決まり,,🐚 Japanese 日本語,Mac,2018-09-17 02:56:00 +0000,,2018-09-17 03:25:33 +0000,29m,0,
3.35,Action,ポンポと 2 はっきり示したい場合,,🐚 Japanese 日本語,Mac,2018-09-17 02:19:00 +0000,,2018-09-17 02:54:24 +0000,35m,0,
3.36,Action,2.2 定点数的表示和运算 1 - 16,,计算机组成原理考研复习指导,Draft,2018-09-16 01:47:00 +0000,,2018-09-16 15:25:00 +0000,139m,0,"-> 10:11
11:03 -> 11:48
22:15 -> 23:25"
